Date,Cost,Conversion
10/09/2016,119,11
23/09/2016,119,13
17/09/2016,131,9
16/09/2016,152,15
14/09/2016,158,7
18/09/2016,164,7
11/09/2016,174,5
24/09/2016,175,8
21/09/2016,215,9
12/09/2016,222,6
19/09/2016,227,7
25/09/2016,229,12
20/05/2016,232,8
20/09/2016,237,7
13/05/2016,249,14
22/05/2016,259,12
7/05/2016,259,3
15/05/2016,260,35
21/05/2016,264,8
14/05/2016,275,3
15/09/2016,276,13
12/05/2016,276,4
8/05/2016,282,12
14/08/2016,283,19
13/09/2016,290,14
18/05/2016,299,14
19/05/2016,305,7
9/09/2016,306,14
28/05/2016,313,8
11/05/2016,316,8
15/07/2016,328,17
10/05/2016,332,7
7/08/2016,334,18
29/10/2016,337,14
15/10/2016,338,12
21/08/2016,340,16
17/05/2016,341,13
16/05/2016,343,13
22/10/2016,346,11
29/05/2016,347,11
30/10/2016,349,7
22/09/2016,350,11
1/05/2016,352,7
25/12/2016,357,25
25/06/2016,361,7
27/05/2016,362,9
25/05/2016,366,13
13/08/2016,366,10
2/07/2016,369,5
24/05/2016,374,6
28/10/2016,375,19
5/11/2016,376,7
9/05/2016,379,10
27/08/2016,397,12
24/12/2016,398,34
28/08/2016,401,16
4/09/2016,402,16
31/10/2016,407,18
2/11/2016,410,18
1/11/2016,411,19
6/08/2016,414,13
18/06/2016,419,14
26/05/2016,420,16
12/08/2016,420,13
4/11/2016,421,19
23/05/2016,423,14
14/10/2016,436,25
3/11/2016,439,24
20/08/2016,446,9
24/07/2016,451,11
18/08/2016,452,9
12/06/2016,456,12
25/02/2017,456,23
5/08/2016,458,14
18/02/2017,458,13
31/05/2016,459,14
27/10/2016,460,26
11/06/2016,460,5
31/12/2016,462,35
31/07/2016,462,19
16/07/2016,465,13
23/10/2016,466,10
15/08/2016,467,17
26/08/2016,468,16
30/05/2016,474,12
11/03/2017,476,20
17/08/2016,478,15
21/10/2016,483,14
30/07/2016,487,10
3/09/2016,491,8
17/07/2016,491,9
18/03/2017,492,7
2/05/2016,493,14
1/06/2016,493,22
19/06/2016,500,19
11/02/2017,500,18
6/11/2016,501,14
13/10/2016,502,23
3/12/2016,506,6
23/07/2016,507,12
26/09/2016,507,26
10/12/2016,510,20
24/02/2017,510,20
20/11/2016,512,11
12/03/2017,513,11
1/01/2017,515,18
7/01/2017,517,21
20/10/2016,519,17
16/10/2016,524,8
26/12/2016,527,35
17/10/2016,527,11
16/08/2016,531,8
24/06/2016,533,12
21/01/2017,533,24
24/10/2016,536,12
8/10/2016,537,10
19/08/2016,539,10
6/01/2017,541,22
2/09/2016,544,12
9/07/2016,545,9
10/07/2016,548,9
8/01/2017,551,27
22/07/2016,553,14
3/08/2016,553,16
4/03/2017,557,36
11/08/2016,557,18
19/02/2017,560,22
2/06/2016,560,14
21/07/2016,560,12
14/01/2017,561,15
10/06/2016,561,17
4/06/2016,562,17
4/08/2016,562,25
12/10/2016,563,22
29/08/2016,565,12
2/01/2017,569,24
3/06/2016,572,19
26/06/2016,580,16
7/11/2016,581,17
29/07/2016,582,15
22/08/2016,583,12
19/11/2016,583,12
8/06/2016,584,18
25/08/2016,585,18
8/08/2016,586,99
23/06/2016,588,21
26/10/2016,591,19
3/01/2017,592,49
10/08/2016,595,11
12/11/2016,595,15
9/01/2017,597,40
1/07/2016,599,9
3/07/2016,600,13
23/12/2016,605,32
19/03/2017,609,11
2/08/2016,610,17
18/10/2016,611,25
5/06/2016,615,20
4/01/2017,616,30
9/06/2016,616,12
2/10/2016,618,28
17/06/2016,620,17
15/01/2017,623,31
5/01/2017,623,36
26/11/2016,624,13
20/07/2016,625,25
1/08/2016,627,17
12/07/2016,629,55
25/10/2016,629,24
16/06/2016,631,16
9/10/2016,631,11
25/07/2016,634,24
27/07/2016,634,20
22/06/2016,636,21
15/06/2016,637,23
29/06/2016,638,25
17/02/2017,640,33
5/09/2016,641,25
10/01/2017,641,28
23/02/2017,642,27
17/12/2016,642,40
18/11/2016,644,16
16/02/2017,644,29
6/05/2016,647,7
10/02/2017,647,33
7/06/2016,648,12
14/07/2016,650,11
11/01/2017,652,29
25/03/2017,652,11
11/11/2016,653,11
26/07/2016,655,10
9/08/2016,657,23
13/11/2016,658,15
25/11/2016,658,16
8/11/2016,659,19
13/07/2016,661,22
12/01/2017,661,42
22/12/2016,663,51
19/10/2016,669,33
9/11/2016,669,10
28/07/2016,670,24
24/08/2016,671,15
6/06/2016,676,16
22/02/2017,678,29
1/12/2016,678,30
24/11/2016,681,14
11/10/2016,681,17
2/12/2016,682,37
1/03/2017,683,20
16/11/2016,683,43
9/12/2016,683,19
22/11/2016,685,20
30/12/2016,686,46
27/11/2016,688,15
18/07/2016,688,20
11/12/2016,689,26
13/01/2017,689,32
17/11/2016,690,9
28/06/2016,691,26
17/03/2017,691,19
20/01/2017,693,17
10/10/2016,693,18
19/12/2016,694,46
10/11/2016,696,11
18/12/2016,698,21
30/06/2016,698,32
8/07/2016,700,13
29/12/2016,702,54
12/02/2017,704,19
14/11/2016,705,23
7/12/2016,705,33
23/08/2016,706,18
23/11/2016,707,26
19/07/2016,707,22
27/12/2016,707,39
5/05/2016,708,17
11/07/2016,711,20
4/12/2016,713,22
26/02/2017,713,14
6/09/2016,714,18
18/01/2017,714,26
29/11/2016,716,28
7/09/2016,718,22
28/11/2016,718,22
21/12/2016,722,37
22/01/2017,723,22
6/12/2016,723,34
16/12/2016,724,33
13/06/2016,726,14
5/12/2016,726,47
19/01/2017,727,38
15/03/2017,729,27
5/03/2017,730,38
1/09/2016,730,19
16/03/2017,733,16
14/06/2016,733,14
4/05/2016,733,12
21/06/2016,734,24
14/02/2017,735,24
30/11/2016,735,22
31/03/2017,735,19
1/10/2016,737,27
13/02/2017,738,39
3/10/2016,740,42
9/03/2017,744,31
8/09/2016,745,12
27/02/2017,748,40
21/11/2016,749,20
28/12/2016,751,42
10/03/2017,751,45
4/07/2016,760,13
15/02/2017,766,34
3/05/2016,766,13
24/03/2017,768,9
28/01/2017,770,38
7/07/2016,770,14
21/02/2017,771,34
26/03/2017,779,17
8/12/2016,781,37
6/07/2016,792,21
7/10/2016,795,14
13/03/2017,795,21
6/03/2017,800,35
20/12/2016,801,35
12/12/2016,807,28
3/03/2017,807,49
15/11/2016,809,37
14/12/2016,811,34
28/02/2017,812,27
5/07/2016,816,13
4/02/2017,830,35
22/03/2017,830,16
20/02/2017,837,27
26/01/2017,838,14
8/03/2017,847,46
27/06/2016,851,37
20/03/2017,851,24
15/12/2016,852,24
17/01/2017,853,25
21/03/2017,858,21
14/03/2017,859,54
27/09/2016,865,45
20/06/2016,867,22
16/01/2017,872,33
23/03/2017,874,18
30/08/2016,882,21
30/09/2016,897,28
29/03/2017,909,25
9/02/2017,910,34
2/03/2017,917,56
7/03/2017,918,44
27/01/2017,926,39
8/02/2017,937,26
6/10/2016,937,18
25/01/2017,940,31
13/12/2016,966,26
31/08/2016,976,21
29/01/2017,977,45
28/03/2017,978,20
5/10/2016,992,34
3/02/2017,994,41
30/03/2017,1013,23
27/03/2017,1018,17
5/02/2017,1025,34
7/02/2017,1042,22
31/01/2017,1057,38
30/01/2017,1105,78
23/01/2017,1111,44
4/10/2016,1156,60
2/02/2017,1168,30
29/09/2016,1177,70
6/02/2017,1182,47
28/09/2016,1226,64
24/01/2017,1252,47
1/02/2017,1262,34
