Day,Cost,Conversion
25/12/2015,47.06,9
24/07/2016,249.04,1
1/11/2016,116.51,1
16/01/2017,168.41,1
6/12/2016,238.86,2
6/03/2016,176.01,2
16/02/2017,304.37,2
29/03/2016,203.12,0
20/12/2015,55.97,0
3/10/2016,265.25,0
8/07/2016,291.93,1
7/01/2016,73.23,0
9/12/2015,59.28,0
19/09/2016,167.97,4
1/12/2015,79.81,0
1/09/2016,125.57,0
21/02/2016,170.31,2
11/01/2016,116.82,0
15/02/2016,208.65,1
14/02/2017,315.02,5
14/07/2016,270.07,2
31/10/2016,105.69,2
2/02/2017,306.71,3
27/01/2016,222.53,1
4/03/2017,263.53,2
6/07/2016,202.84,3
18/03/2016,178.35,2
21/09/2016,172.22,1
1/06/2016,167.41,1
17/04/2016,3.19,0
18/07/2016,288.96,0
1/05/2016,192.9,1
17/03/2017,248.66,0
3/06/2016,180.09,1
4/10/2016,262.3,2
4/12/2015,54.23,0
26/09/2016,195.09,2
22/12/2015,69.62,3
29/05/2016,178.3,1
7/12/2015,94.06,0
14/10/2016,230.18,0
15/08/2016,132.81,0
21/04/2016,80.24,0
30/04/2016,221.02,1
7/08/2016,268.03,3
14/11/2016,201.27,1
7/04/2016,211.41,1
5/02/2017,350.85,2
19/06/2016,184.93,1
10/12/2016,212.14,1
8/12/2015,73.23,1
6/03/2017,347.77,8
30/10/2016,109.97,1
28/05/2016,170.21,2
14/03/2016,206.85,2
30/07/2016,241.54,2
21/03/2017,343.97,4
18/05/2016,199.35,1
19/12/2016,355.36,6
18/02/2016,172.17,2
25/01/2016,174.38,1
28/04/2016,219.65,2
5/05/2016,207.3,2
31/07/2016,247.35,0
16/05/2016,218.76,0
7/09/2016,145.41,0
14/01/2016,98.82,5
29/04/2016,218.72,2
10/10/2016,263.14,1
17/12/2016,195.8,3
10/03/2017,240.71,2
3/03/2016,149.19,1
9/08/2016,266.9,1
17/01/2017,166.81,1
16/03/2016,187.65,1
28/11/2016,220.57,0
5/04/2016,110.62,0
30/05/2016,214.94,2
24/05/2016,169.32,0
21/07/2016,283.93,3
4/06/2016,200.48,0
2/02/2016,222.9,3
7/02/2017,386,4
4/01/2016,60.72,1
13/01/2016,113.04,0
29/08/2016,135.24,1
16/02/2016,188.45,8
9/09/2016,144.28,0
21/12/2015,72.06,0
15/11/2016,214.32,4
10/11/2016,173.4,5
11/08/2016,113.93,1
26/11/2016,214.21,1
6/01/2017,183.65,0
19/07/2016,270.98,3
7/01/2017,185.03,1
6/10/2016,219.37,1
12/02/2016,195.66,1
7/05/2016,197.33,2
16/08/2016,130.7,1
26/08/2016,132.7,2
30/11/2016,201.68,1
19/02/2016,167.67,1
20/03/2016,183.39,2
23/02/2017,267.19,1
19/03/2017,306.9,2
3/11/2016,110.6,2
8/12/2016,234.88,1
2/12/2015,63.09,2
8/05/2016,199.33,1
29/11/2016,217.61,1
24/06/2016,204.07,0
10/12/2015,82.61,0
24/01/2017,328.1,2
2/08/2016,265.59,4
2/07/2016,187.74,1
11/11/2016,174.91,1
23/03/2017,324.78,0
27/05/2016,176.03,2
25/05/2016,158.79,0
26/10/2016,103.73,2
2/05/2016,218.82,1
17/08/2016,129.6,3
25/02/2017,253.19,2
25/12/2016,263.49,0
20/05/2016,158.26,0
22/01/2016,159.4,1
19/04/2016,227.18,0
11/05/2016,213.31,3
25/10/2016,122.46,1
8/02/2017,342.66,2
27/09/2016,161.84,0
26/01/2017,312.64,4
8/01/2017,170.43,1
4/05/2016,230.12,0
19/02/2017,299.7,4
24/02/2016,163.41,0
18/06/2016,218.76,0
6/02/2017,364.45,3
13/01/2017,187.77,2
3/03/2017,304.71,1
20/03/2017,342.07,1
8/09/2016,140.12,0
1/04/2016,184.54,2
21/12/2016,362.64,5
8/03/2017,272.21,1
29/01/2017,329.61,0
15/03/2016,212.03,7
7/11/2016,120.01,1
13/03/2017,326.9,0
2/06/2016,186.87,1
30/03/2016,188,2
16/10/2016,119.1,0
24/11/2016,210.3,5
7/03/2017,315.16,3
12/08/2016,121.64,0
28/01/2016,218.72,2
4/07/2016,199.11,3
10/07/2016,261.5,2
9/03/2017,279.9,1
15/05/2016,202.35,2
23/02/2016,181.04,1
8/10/2016,176.54,0
21/01/2016,152.7,1
12/02/2017,301.29,1
31/08/2016,127.21,0
30/08/2016,139.36,1
11/03/2017,214.91,2
2/01/2017,195.56,1
12/09/2016,190.76,0
22/06/2016,201.58,0
24/01/2016,153.47,1
10/04/2016,209.08,1
28/09/2016,161.24,0
16/12/2015,81.51,0
13/10/2016,235.47,2
17/10/2016,143.56,0
6/12/2015,53.52,0
30/12/2015,59.77,0
10/01/2016,46.33,1
15/10/2016,176.71,1
20/06/2016,192.01,1
16/06/2016,204.29,1
4/02/2016,222.75,2
13/06/2016,211.29,0
17/02/2017,265.35,3
11/06/2016,199.72,1
29/12/2016,321.96,0
17/12/2015,65.65,1
12/12/2016,181.13,4
6/02/2016,216.16,2
20/12/2016,344.06,2
15/12/2016,267.2,3
25/09/2016,247.97,2
27/04/2016,207.34,2
19/12/2015,53.44,0
13/12/2015,78.17,0
19/01/2016,160.76,1
12/11/2016,176.01,2
23/11/2016,203.26,0
5/07/2016,219.7,1
19/08/2016,125.86,0
5/06/2016,196.18,2
9/10/2016,236.24,0
20/02/2017,319.48,4
28/01/2017,253.36,1
31/01/2017,307.02,1
20/01/2016,162.07,1
17/03/2016,182.89,0
19/05/2016,195.1,0
31/12/2015,3.51,0
10/03/2016,165.32,0
26/07/2016,189.2,1
16/09/2016,173.84,4
22/08/2016,129.85,2
26/12/2016,429.73,2
21/11/2016,209.58,3
4/09/2016,135.5,0
23/03/2016,176.14,1
6/06/2016,197.51,0
10/09/2016,144.83,0
20/10/2016,123.24,0
27/12/2015,63.19,0
28/12/2016,382.52,9
24/03/2017,144.28,0
7/03/2016,192.53,1
12/03/2017,262.25,2
23/06/2016,223.97,0
30/01/2016,199.01,2
13/03/2016,187.12,0
10/05/2016,213.44,2
3/07/2016,189.65,1
1/10/2016,248.65,1
20/04/2016,41.93,2
8/03/2016,185.62,1
28/10/2016,102.06,3
1/03/2017,275.04,0
29/01/2016,234.82,0
16/01/2016,103.29,1
25/02/2016,158.13,1
15/07/2016,200.05,1
22/10/2016,130.98,1
31/12/2016,211.39,0
11/04/2016,218.77,3
3/08/2016,270.39,5
13/09/2016,187.42,0
22/12/2016,368.55,2
22/11/2016,211.36,3
21/01/2017,220.99,0
22/01/2017,243.41,2
28/07/2016,272.9,2
27/02/2017,325.33,4
14/08/2016,128.6,0
29/09/2016,283.54,0
9/12/2016,205.86,2
11/02/2016,208.97,5
8/06/2016,183.09,0
17/09/2016,171.43,0
6/05/2016,196.52,2
12/01/2016,113.09,1
12/10/2016,236.73,2
15/03/2017,304.1,3
13/05/2016,200.01,1
9/02/2016,237.3,2
21/05/2016,187.61,0
13/04/2016,217.06,0
10/02/2016,224.62,1
9/07/2016,245.71,2
2/03/2017,281.59,0
27/03/2016,171.03,0
26/06/2016,209.71,1
11/12/2016,142.64,5
31/01/2016,183.7,2
24/10/2016,115.01,2
9/01/2016,69.41,0
18/08/2016,128.36,3
26/12/2015,68.71,0
26/03/2016,176.34,4
15/06/2016,199.06,2
6/11/2016,114.48,4
10/01/2017,190.9,0
23/01/2017,333.09,0
18/03/2017,238.55,1
18/01/2017,238.65,2
7/07/2016,200.19,0
21/03/2016,182.43,2
18/12/2016,270.87,2
24/02/2017,236.24,2
20/02/2016,170.95,4
31/03/2016,163.52,1
14/06/2016,219.99,1
27/08/2016,127.33,0
29/10/2016,98.22,1
13/12/2016,275.55,5
24/12/2016,235.26,0
5/03/2017,319.39,1
14/01/2017,184.46,0
7/06/2016,188.76,0
14/03/2017,305.23,2
4/02/2017,262.59,1
14/12/2016,271.76,6
9/05/2016,221.89,0
11/01/2017,189.58,1
28/02/2017,295.1,3
21/10/2016,128.52,0
29/07/2016,249.49,2
23/04/2016,178.34,2
15/12/2015,53.88,0
23/05/2016,193.33,3
27/10/2016,108.81,0
5/12/2016,244.74,3
16/11/2016,209.12,1
11/03/2016,177.35,0
27/07/2016,281.96,0
30/06/2016,216.61,1
15/04/2016,195.92,3
6/04/2016,187.13,1
28/02/2016,98.54,1
27/11/2016,216.43,1
23/01/2016,155.2,3
7/12/2016,237.46,5
13/11/2016,182.02,3
20/11/2016,211.55,2
18/12/2015,61.56,0
1/01/2017,222.43,2
1/02/2016,223.77,0
17/07/2016,264.27,1
6/01/2016,67.11,0
5/10/2016,287.16,3
14/12/2015,91.76,2
4/04/2016,189.71,0
18/09/2016,200.27,1
10/02/2017,275.39,2
29/02/2016,2.83,0
26/05/2016,188.46,1
12/06/2016,204.47,0
